ok  	github.com/macula-io/macula-go/cbor	0.032s
ok  	github.com/macula-io/macula-go/connection	1.049s
ok  	github.com/macula-io/macula-go/dht	0.222s
ok  	github.com/macula-io/macula-go/directdial	6.760s
ok  	github.com/macula-io/macula-go/frame	0.012s
ok  	github.com/macula-io/macula-go/identity	0.009s
ok  	github.com/macula-io/macula-go/manifest	0.003s
ok  	github.com/macula-io/macula-go/pool	2.007s
ok  	github.com/macula-io/macula-go/ucan	0.088s
